Set 1,Set 1,Set 1,Set 1,Set 1,Set 1,Set 2,Set 2,Set 2,Set 2,Set 2,Set 2,Set 3,Set 3,Set 3,Set 3,Set 3,Set 3,Set 4,Set 4,Set 4,Set 4,Set 4,Set 4
Colour,Colour,Pattern,Pattern,Chevron,Chevron,Far,Far,Middle,Middle,Near,Near,Small,Small,Medium,Medium,Large,Large,Far,Far,Middle,Middle,Near,Near
Oddball L,Oddball R,Oddball L,Oddball R,Oddball L,Oddball R,Oddball L,Oddball R,Oddball L,Oddball R,Oddball L,Oddball R,Oddball L,Oddball R,Oddball L,Oddball R,Oddball L,Oddball R,Oddball Worm,Oddball Bug,Oddball Worm,Oddball Bug,Oddball Worm,Oddball Bug
375,5025,771,1319,485,501,607,826,767,602,545,710,1257,655,547,494,499,495,940,1161,713,553,653,986
1425,1146,1490,1149,554,655,653,1210,546,766,490,548,880,719,655,820,605,497,1257,928,717,599,714,652
2088,1540,1532,1431,820,932,707,710,545,879,431,435,981,550,658,710,438,495,2094,2421,541,493,828,598
875,1422,994,542,875,1263,600,1260,765,1434,607,655,1046,600,601,988,1100,662,597,660,761,1210,652,1039
1373,1646,1590,1160,490,658,875,715,1651,820,600,710,1536,1211,600,1147,714,825,2478,3182,1210,1871,772,709
2036,1866,1917,3182,875,1156,827,1260,1212,1045,655,993,1490,1370,1150,936,1160,715,1256,2801,1485,872,1159,1422
875,985,1161,651,381,490,490,656,435,605,490,601,985,706,436,491,391,441,872,1043,720,1040,597,498
1095,1260,1146,1037,435,490,656,601,380,545,545,435,880,880,710,601,441,715,1820,1378,872,1093,657,663
1531,1147,1435,983,546,545,1468,875,765,490,432,381,985,1205,542,491,386,331,874,1588,652,658,664,653
1480,656,831,709,820,656,601,765,491,490,490,545,1095,1150,545,600,660,547,826,818,762,707,827,762
930,2196,2687,1765,655,491,1151,1755,1645,765,490,765,1480,1265,766,711,880,605,1697,1862,713,883,652,652
1536,1155,2480,1698,711,490,1150,1095,490,545,441,656,1095,1101,600,1211,990,501,1762,2032,707,1037,928,1042
710,927,762,610,445,441,435,600,496,545,435,490,770,600,435,490,385,770,885,928,775,711,877,552
1095,881,775,831,380,545,600,550,601,657,545,655,1155,1266,655,655,550,770,1325,1424,1215,1154,932,542
1321,3075,996,665,490,545,600,545,435,490,434,436,1101,1105,436,545,386,386,707,1092,445,433,490,817
655,826,707,665,765,820,545,600,600,656,545,545,1370,820,546,711,495,440,653,542,555,775,927,872
711,1643,1381,1313,545,771,1265,1040,710,1040,545,600,770,605,600,930,552,660,1044,3236,1148,877,941,487
1315,1425,2040,1642,600,600,931,930,380,655,490,435,1422,1315,765,880,550,500,1918,2026,1380,2197,652,816
660,821,940,601,380,550,820,820,601,490,385,655,825,546,492,381,380,441,940,830,1050,598,492,1152
990,1265,609,996,708,655,1206,765,490,545,495,601,1041,985,545,545,442,661,1105,2425,830,1875,871,547
1700,1865,1270,721,491,435,820,435,435,490,380,436,1040,710,435,1037,495,386,555,1422,390,445,706,487
1425,765,707,928,1040,550,711,495,762,715,490,380,765,711,655,766,605,440,872,707,1432,1215,817,652
2030,1540,1600,1820,601,601,1094,1040,1095,551,490,491,770,600,875,545,555,550,1820,2301,1435,927,609,543
1760,2302,2645,1930,656,545,875,765,490,435,1041,546,1316,765,1148,661,605,441,1642,1041,982,991,877,652
710,1150,776,885,490,545,720,545,490,817,435,545,550,821,500,500,602,445,983,830,767,927,542,607
1045,875,885,665,496,601,1046,710,435,490,545,655,985,1425,604,881,495,495,1091,1037,940,652,653,490
817,2798,1380,940,380,600,490,655,490,435,545,488,1265,1481,545,710,433,440,720,940,445,446,652,652
545,1040,543,1652,765,765,491,545,655,711,491,601,935,710,490,600,495,606,2095,652,775,1091,822,542
1150,1150,1146,1862,545,1095,1427,880,601,600,545,711,1096,1095,654,600,715,441,2040,2412,1702,2303,652,541
1705,1920,2040,2151,436,930,990,930,496,657,490,710,1315,1045,1095,545,717,825,1257,1202,1435,1532,822,491
816,597,492,885,435,436,660,490,435,600,490,490,711,821,490,435,440,441,991,982,718,995,432,656
875,931,1271,665,545,545,825,765,545,765,490,597,1150,876,545,710,446,605,1270,823,995,831,926,606
1150,1591,775,716,382,434,601,710,380,821,545,491,1701,1755,657,1425,441,440,610,817,652,983,597,822
1045,655,1267,1435,931,982,545,656,545,710,491,600,1042,655,435,491,550,551,1050,1266,1148,706,707,652
2255,1265,1820,1807,545,820,875,2583,715,656,545,600,1815,826,605,546,610,495,1923,2855,1325,1600,601,1367
1260,1375,2632,1821,550,491,820,655,550,545,765,875,1260,1265,930,875,770,551,1651,1147,762,986,657,986
601,985,1491,1202,435,490,600,545,490,658,435,487,490,495,435,601,385,441,717,1039,816,707,431,596
881,931,1092,597,435,490,716,710,596,601,655,545,1430,655,490,601,440,555,872,1152,885,1258,762,597
2036,2415,940,1271,820,490,660,490,381,600,381,601,2635,1810,545,545,440,391,818,1202,555,652,598,543
601,873,1213,1711,710,766,601,436,435,765,600,931,1311,1095,545,490,495,495,1092,1148,775,830,711,982
880,1920,1710,1642,490,656,710,1535,1755,1101,551,490,985,770,655,545,770,660,1698,1702,872,1257,597,542
1101,1151,2536,2975,495,490,766,935,491,1205,550,490,597,766,1040,656,496,550,1270,1478,1202,1203,652,1097
545,656,610,1037,931,435,435,600,655,545,435,490,716,710,432,440,390,385,775,927,665,1093,552,762
931,1150,775,881,600,601,825,1045,715,545,490,601,1100,1315,605,550,550,440,775,1270,1422,872,873,548
1701,1755,1258,1270,435,381,830,655,435,491,710,546,1650,1041,436,545,336,658,597,928,1532,762,652,817
820,1205,1037,1092,930,545,545,435,600,600,1041,927,930,821,710,545,495,441,816,707,762,764,1037,717
1645,2030,1765,1092,710,546,770,820,655,600,490,820,3351,715,1040,1260,555,555,885,2252,775,1533,981,653
2745,1261,2260,1985,544,655,1807,1095,715,422,440,546,1156,1260,770,655,500,495,1257,1641,1318,982,598,597
651,1100,1092,555,546,764,600,545,490,550,435,657,490,600,435,435,499,386,1202,927,937,657,598,543
765,770,940,996,597,600,656,930,551,601,436,490,1370,1266,545,545,495,555,1202,986,772,873,720,872
1320,1156,2205,1435,380,491,656,492,435,437,490,655,1206,820,490,546,390,496,1105,1037,556,597,597,542
545,656,2146,1147,986,930,545,545,655,765,600,600,1426,1037,551,656,550,440,1092,1366,762,652,872,873
1095,1040,1160,1655,546,767,2145,875,1041,550,985,545,875,545,710,602,1320,775,872,2038,1156,707,486,542
1700,1591,1654,2425,551,490,2800,817,655,545,490,550,1266,1485,825,1865,495,776,1367,1202,1092,982,871,1203
880,655,665,597,435,440,821,990,710,440,435,436,550,490,435,435,440,491,938,1037,1377,1312,652,982
546,1097,1270,1160,654,496,655,655,655,715,435,545,1040,1096,545,491,439,495,982,822,761,1215,707,541
2967,1810,1151,1871,436,432,490,491,379,490,711,545,1755,1150,380,381,387,440,873,706,651,651,542,707
600,655,1050,2148,710,545,715,707,545,546,600,491,875,765,545,435,607,496,1092,1376,940,652,762,652
1699,1977,1093,1436,440,545,1096,1265,1920,545,545,655,930,1260,820,715,660,606,1160,2412,1930,1753,487,547
1150,3181,1917,2083,496,881,765,986,490,495,710,490,1366,875,710,931,720,1050,1271,2087,1373,1093,1037,662
770,1430,542,555,436,436,655,1045,435,600,440,435,655,601,490,435,386,386,1097,986,817,1267,492,657
927,875,818,1050,606,490,876,875,601,875,546,656,1370,825,600,825,610,440,763,1592,988,1038,602,603
2635,1478,1380,3525,490,545,550,655,437,545,490,435,2085,1590,546,436,606,442,830,872,662,598,542,541
550,545,1270,1982,875,765,655,655,436,545,545,601,770,765,490,491,440,606,720,1584,665,762,762,817
1425,1590,1257,1202,600,655,1321,1535,600,601,875,656,932,877,826,436,551,496,2692,1917,1038,2247,602,707
1315,2145,1928,2644,491,930,545,1260,658,545,441,707,1040,1262,820,1205,940,610,1261,1321,1037,877,598,1422
930,876,1105,488,545,491,491,545,435,495,436,435,876,490,435,495,386,385,936,878,1050,1201,542,488
1485,770,665,610,491,436,600,1316,605,655,440,606,1206,1156,655,490,605,441,995,1698,1696,1207,707,706
1320,2420,939,1601,490,435,435,435,490,382,710,380,1315,935,490,546,660,385,776,1146,543,1918,487,547
606,545,995,1380,655,763,656,655,656,546,545,600,1101,655,490,597,440,440,872,1267,885,653,926,707
2310,1590,1587,662,875,545,1590,929,765,605,876,496,765,935,1040,490,495,715,2260,2357,1050,871,982,489
1206,2467,1545,2480,1321,930,1095,876,490,490,490,550,1041,765,1370,655,934,665,1215,1863,1380,932,762,1312
,,,,,,,,,,,,,,,,,,885,708,1038,1037,541,712
,,,,,,,,,,,,,,,,,,830,827,652,1050,598,542
,,,,,,,,,,,,,,,,,,817,872,610,488,707,597
,,,,,,,,,,,,,,,,,,827,886,652,652,597,598
,,,,,,,,,,,,,,,,,,1642,4557,665,1368,597,547
,,,,,,,,,,,,,,,,,,1533,1762,1097,1476,817,1042
,,,,,,,,,,,,,,,,,,1037,762,775,2082,597,492
,,,,,,,,,,,,,,,,,,885,1765,1039,1325,927,596
,,,,,,,,,,,,,,,,,,1105,1037,1156,665,598,548
,,,,,,,,,,,,,,,,,,1927,1366,775,871,487,767
,,,,,,,,,,,,,,,,,,1105,1312,1542,2082,597,542
,,,,,,,,,,,,,,,,,,1589,1697,995,1050,877,1206
,,,,,,,,,,,,,,,,,,830,766,721,823,818,596
,,,,,,,,,,,,,,,,,,1600,1160,818,1036,763,761
,,,,,,,,,,,,,,,,,,873,1257,873,761,597,872
,,,,,,,,,,,,,,,,,,872,928,720,651,871,602
,,,,,,,,,,,,,,,,,,1532,2087,927,1215,547,652
,,,,,,,,,,,,,,,,,,1820,1757,1105,1806,598,1312
,,,,,,,,,,,,,,,,,,1147,1047,830,817,652,483
,,,,,,,,,,,,,,,,,,1325,1092,1325,830,817,486
